ticker,close,open,high,low,volume,change_%,value_traded,high_52w,low_52w,market_cap,roe,pe,pb,perf_y,rvol,tarih,dist_from_52w_low,stop_price,target_cup,target_bagger,potansiyel_cup,mcap_milyon,score_base,score_quality,score_flow,score_ignition,quant_score,regime,score_diff,perf_1m,perf_w,sector,industry,oper_margin,tier
GOLD,47.47,46.15,47.84,45.37,1018031.0,2.9048341643182227,48325931.57,66.7,22.0,1376837644.4615216,10.7971983223503,16.246278106711387,1.5785852457648055,98.28738512949036,1.345612399559636,2026-09-08,115.8,21.12,66.7,118.67,40.5,1376.8,20.0,55.0,62.5,61.6,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,10.267131242741003,7.690562613430129,Finance,Investment Banks/Brokers,0.85660838189048,
ITRI,96.57,96.54,97.64,95.7,501166.0,-0.4535614885063518,48397600.62,142.0,77.77,4228486985.5485,16.9668001958194,16.14450983014578,2.615553456203225,-20.08440913604767,1.186156903324021,2026-09-08,24.2,74.66,142.0,241.42,47.0,4228.5,90.0,85.0,11.9,41.5,0.0,NÖTR,0.0,-6.078583933086948,0.3846153846153745,Electronic Technology,Electronic Equipment/Instruments,13.8660001059411,
BHVN,14.72,14.91,15.8,14.33,3306257.0,-6.182281708094321,48668103.04,18.5657,7.48,2223364344.780115,-799.461885851685,15.0,181.8855801309774,-5.337620578778135,0.8039076210281121,2026-09-08,96.8,7.18,18.57,36.8,26.2,2223.4,20.0,55.0,10.0,28.1,0.0,⚠️ BİYOTEK TUZAĞI (FDA RİSKİ),0.0,-0.3385240352064924,-4.353476283300845,Health Technology,Pharmaceuticals: Major,10.0,
CVSA,125.15,129.03,129.645,125.02,389191.0,-2.295261144507766,48707253.65,156.2599,86.97,4259958473.660708,18.5689333671319,19.09754013306476,2.9451486941213045,-6.965506987808507,1.092200464392375,2026-09-08,43.9,83.49,156.26,312.88,24.9,4260.0,20.0,70.0,10.9,38.2,0.0,NÖTR,0.0,-1.6038996776476075,-5.987079326923076,Consumer Services,Other Consumer Services,19.9430935706482,
CURB,29.68,29.5,29.86,28.85,1644507.0,0.7125890736342072,48808967.76,32.15,21.93,3414328499.667458,1.43893857096074,109.19793966151582,1.4990678808039004,29.380993897122924,1.3161258382213323,2026-09-08,35.3,21.05,32.15,74.2,8.3,3414.3,20.0,30.0,58.2,49.6,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,0.3041568097330174,-0.5361930294906171,Finance,Real Estate Investment Trusts,17.1696708012306,
ASH,72.62,72.87,73.72,72.44,673689.0,-0.4250651309474869,48923295.18,78.25,46.295,3325514492.4577,3.99042298483639,64.24274593064402,1.7783498275157392,33.51719066004781,1.228538744462869,2026-09-08,56.9,44.44,78.25,181.55,7.8,3325.5,20.0,30.0,12.3,43.0,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,0.4009401354901234,-0.5886379192333917,Consumer Non-Durables,Food: Specialty/Candy,8.5729788388497,
BANC,18.62,18.85,19.0,18.59,2628737.0,-1.5856236786469382,48947082.940000005,21.93,15.33,2949926616.207188,-0.657248388142792,15.0,1.0131530334465648,10.57007125890737,1.2526769176928465,2026-09-08,21.5,14.72,21.93,46.55,17.8,2949.9,90.0,55.0,12.5,43.8,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-1.429327686606668,0.4314994606256842,Finance,Regional Banks,-5.356714614733737,
ECO,69.95,72.75,72.75,69.54,701778.0,-2.0719585608287887,49089371.1,72.75,27.74,2682495949.238415,61.5919910455297,6.522813528660282,3.112406599992792,140.6260749914001,1.4403254933905705,2026-09-08,152.2,26.63,72.75,174.88,4.0,2682.5,20.0,100.0,14.4,50.4,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,10.680379746835442,3.506954720331466,Transportation,Marine Shipping,62.341887032832,
KTB,70.73,73.63,74.26,70.23,695562.0,-3.8863976083707015,49197100.260000005,88.96,56.19,3865650468.784753,40.9637108724128,14.77574212956193,6.249293166332099,-11.42141515341264,1.0462088275308137,2026-09-08,25.9,53.94,88.96,176.83,25.8,3865.7,65.0,85.0,10.5,36.6,0.0,NÖTR,0.0,-9.783163265306124,-4.6637013074538265,Consumer Non-Durables,Apparel/Footwear,13.1447185859926,
KRC,36.15,36.9,37.295,36.12,1361190.0,-2.6655896607431395,49207018.5,45.03,27.36,4245547926.510501,3.18522268142883,25.4505773021684,0.8045159718118968,-13.825983313468424,1.273140375513698,2026-09-08,32.1,26.27,45.03,90.38,24.6,4245.5,65.0,40.0,12.7,44.6,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,-3.1350482315112584,-0.2758620689655212,Finance,Real Estate Investment Trusts,24.6816618007868,
